"idWilayah"|"nomorUrut"|"jumlahSuara"|"namaPemilihan"|"namaWilayah"|"namaPropinsi"|"namaKd"|"namaWkd"|"namaKabupatenKota"
"38"|269|1|62864|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGGARA"|"ACEH TENGGARA"|"ACEH"|"Drs. Raidin Pinim, M.AP"|"Bukhari"|"ACEH TENGGARA"
"39"|269|2|55385|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGGARA"|"ACEH TENGGARA"|"ACEH"|"H. ALI BASRAH, S.Pd, MM"|"DENNY FEBRIAN ROZA, S.STP"|"ACEH TENGGARA"
"40"|671|1|88663|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TIMUR"|"ACEH TIMUR"|"ACEH"|"Ridwan Abubakar, S.Pd.I., M.M"|"Abdul Rani"|"ACEH TIMUR"
"41"|671|2|93230|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TIMUR"|"ACEH TIMUR"|"ACEH"|"H. Hasballah Bin H.M. Thaib"|"Syahrul Bin Syama?un"|"ACEH TIMUR"
"42"|3205|1|122510|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH UTARA"|"ACEH UTARA"|"ACEH"|"H. MUHAMMAD THAIB"|"FAUZI YUSUF"|"ACEH UTARA"
"43"|3205|2|23846|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH UTARA"|"ACEH UTARA"|"ACEH"|"Ir. Muhammad Nasir"|"Ir. H. T. Muttaqin, MM"|"ACEH UTARA"
"44"|3205|3|6552|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH UTARA"|"ACEH UTARA"|"ACEH"|"SYAMSUDDIN AYAH PANTON"|"MUHAMMAD JAMIL"|"ACEH UTARA"
"45"|3205|4|106209|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH UTARA"|"ACEH UTARA"|"ACEH"|"FAKHRURRAZI H. CUT"|"MUKHTAR DAUD, SKH"|"ACEH UTARA"
"46"|68681|1|8144|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BANGGAI KEPULAUAN"|"BANGGAI KEPULAUAN"|"SULAWESI TENGAH"|"DELMARD SIAKO, A.Md."|"H. NADJIB BANGUNAN, SH"|"BANGGAI KEPULAUAN"
"47"|68681|2|10695|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BANGGAI KEPULAUAN"|"BANGGAI KEPULAUAN"|"SULAWESI TENGAH"|"HERY LUDONG, ST"|"ADJUMAIN LUMBON, S.Sos"|"BANGGAI KEPULAUAN"
"48"|68681|3|26675|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BANGGAI KEPULAUAN"|"BANGGAI KEPULAUAN"|"SULAWESI TENGAH"|"H. ZAINAL MUS"|"H. RAIS  D. ADAM"|"BANGGAI KEPULAUAN"
"49"|68681|4|22299|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BANGGAI KEPULAUAN"|"BANGGAI KEPULAUAN"|"SULAWESI TENGAH"|"DRS. H. IRIANTO MALINGONG, MM"|"HESMON FIRATONI V.L. PANDILI"|"BANGGAI KEPULAUAN"
"50"|33603|1|105672|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BANJARNEGARA"|"BANJARNEGARA"|"JAWA TENGAH"|"Drs. H. Hadi Supeno., M.Si."|"Nur Heni Widayanti"|"BANJARNEGARA"
"51"|33603|2|135161|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BANJARNEGARA"|"BANJARNEGARA"|"JAWA TENGAH"|"H. Wahyu Kristianto, SE"|"Drs. H. Saeful Muzad, MM"|"BANJARNEGARA"
"52"|33603|3|285088|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BANJARNEGARA"|"BANJARNEGARA"|"JAWA TENGAH"|"Budhi Sarwono"|"H. Syamsudin, S.Pd., M.Pd."|"BANJARNEGARA"
"53"|51578|1|2406132|"Pemilihan Gubernur/Wakil Gubernur - BANTEN"|"BANTEN"|"BANTEN"|"Dr. H. Wahidin Halim, MSi"|"H. Andika Hazrumy, S.Sos., M.AP"|NA
"54"|51578|2|2318238|"Pemilihan Gubernur/Wakil Gubernur - BANTEN"|"BANTEN"|"BANTEN"|"H. Rano Karno, S.IP"|"H. Embay Mulya Syarief"|NA
"55"|62643|1|74169|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BARITO KUALA"|"BARITO KUALA"|"KALIMANTAN SELATAN"|"Hj. NOORMILIYANI AS, SH"|"RAHMADIAN NOOR, ST"|"BARITO KUALA"
"56"|62643|2|25587|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BARITO KUALA"|"BARITO KUALA"|"KALIMANTAN SELATAN"|"H. BAHRIANNOOR"|"H. SUWANDI,S.Pd.MM"|"BARITO KUALA"
"57"|62643|3|52359|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BARITO KUALA"|"BARITO KUALA"|"KALIMANTAN SELATAN"|"HASAN ISMAIL, S.Far., MM., Apt"|"FAHRIN NIZAR ST. MT"|"BARITO KUALA"
"58"|60867|1|35432|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BARITO SELATAN"|"BARITO SELATAN"|"KALIMANTAN TENGAH"|"Ir. H. Muhammad Farid Yusran, M.M."|"Drs. Sukanto, S.H."|"BARITO SELATAN"
"59"|60867|2|37440|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BARITO SELATAN"|"BARITO SELATAN"|"KALIMANTAN TENGAH"|"H.Eddy Raya Samsuri, S.T."|"Satya Titiek Atyani Djoedir"|"BARITO SELATAN"
"60"|40053|1|245330|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BATANG"|"BATANG"|"JAWA TENGAH"|"H. Wihaji, S.Ag., M.Pd."|"Suyono, S.IP., M.Si."|"BATANG"
"61"|40053|2|116755|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BATANG"|"BATANG"|"JAWA TENGAH"|"dr. Lafran Pancaputranto, Sp.OG (K)"|"H. Nurhaji Slamet Urip"|"BATANG"
"62"|40053|3|63227|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BATANG"|"BATANG"|"JAWA TENGAH"|"A.S. Burhan, S.Ag"|"Acara Ariani, S.Psi"|"BATANG"
"63"|40053|4|8089|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BATANG"|"BATANG"|"JAWA TENGAH"|"Akhmad Faizin, ST"|"Erna Yuniwati"|"BATANG"
"64"|31685|1|113664|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BEKASI"|"BEKASI"|"JAWA BARAT"|"DR. Hj. MEILINA KARTIKA KADIR, S.Sos, M.Si"|"ABDUL KHOLIK, SE, M.Si"|"BEKASI"
"65"|31685|2|309205|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BEKASI"|"BEKASI"|"JAWA BARAT"|"DR. H. SA'DUDDIN, MM."|"DHANI AHMAD PRASETYO"|"BEKASI"
"66"|31685|3|207940|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BEKASI"|"BEKASI"|"JAWA BARAT"|"OBON TABRONI"|"BAMBANG SUMARYONO"|"BEKASI"
"67"|31685|4|81496|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BEKASI"|"BEKASI"|"JAWA BARAT"|"IIN FARIHIN"|"KH. MAHMUD"|"BEKASI"
"68"|31685|5|471483|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BEKASI"|"BEKASI"|"JAWA BARAT"|"dr. Hj. NENENG HASANAH YASIN"|"H. EKA SUPRIA ATMAJA, SH"|"BEKASI"
"69"|5920|1|14804|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENER MERIAH"|"BENER MERIAH"|"ACEH"|"Ir.H.RIDWAN ABDUL MUTHALIB, MT"|"RIDUANSYAH"|"BENER MERIAH"
"70"|5920|2|4964|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENER MERIAH"|"BENER MERIAH"|"ACEH"|"H.MISRADY, MS"|"NASRUDDIN"|"BENER MERIAH"
"71"|5920|3|29554|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENER MERIAH"|"BENER MERIAH"|"ACEH"|"AHMADI, SE"|"TGK. H SARKAWI"|"BENER MERIAH"
"72"|5920|4|1447|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENER MERIAH"|"BENER MERIAH"|"ACEH"|"ARMADA SALEH"|"KARMIJAN"|"BENER MERIAH"
"73"|5920|5|17736|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENER MERIAH"|"BENER MERIAH"|"ACEH"|"Drs.H. RUSLI M. SALEH"|"Drs. H. T. ISLAH, M.Si"|"BENER MERIAH"
"74"|5920|6|6916|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENER MERIAH"|"BENER MERIAH"|"ACEH"|"DRS. TGK. H. RIDWAN QARI"|"IR. SUTERISNO. M.AP"|"BENER MERIAH"
"75"|5920|7|2599|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENER MERIAH"|"BENER MERIAH"|"ACEH"|"MUCHLIS GAYO"|"M.ALI"|"BENER MERIAH"
"76"|20803|1|2701|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENGKULU TENGAH"|"BENGKULU TENGAH"|"BENGKULU"|"MEDIO YULISTIO, SE"|"ABDU RANI,S.Sos"|"BENGKULU TENGAH"
"77"|20803|2|31849|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENGKULU TENGAH"|"BENGKULU TENGAH"|"BENGKULU"|"DR. H. FERRY RAMLI, S.H., M.H"|"SEPTI PERYADI, S.TP"|"BENGKULU TENGAH"
