"idWilayah"|"namaPemilihan"|"namaWilayah"|"namaPropinsi"|"namaKabupatenKota"|"jumlahTps"|"jumlahSuara"
"54"|2452|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - PIDIE"|"PIDIE"|"ACEH"|"PIDIE"|802|209402
"55"|22329|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - PRINGSEWU"|"PRINGSEWU"|"LAMPUNG"|"PRINGSEWU"|821|217806
"56"|76568|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - MALUKU TENGGARA BARAT"|"MALUKU TENGGARA BARAT"|"MALUKU"|"MALUKU TENGGARA BARAT"|184|55929
"57"|18942|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - MUSI BANYUASIN"|"MUSI BANYUASIN"|"SUMATERA SELATAN"|"MUSI BANYUASIN"|1464|274787
"58"|32547|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA CIMAHI"|"KOTA CIMAHI"|"JAWA BARAT"|"KOTA CIMAHI"|980|275416
"59"|74941|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOALEMO"|"BOALEMO"|"GORONTALO"|"BOALEMO"|265|83838
"60"|3205|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH UTARA"|"ACEH UTARA"|"ACEH"|"ACEH UTARA"|1048|272886
"61"|928083|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON TENGAH"|"BUTON TENGAH"|"SULAWESI TENGGARA"|"BUTON TENGAH"|204|48465
"62"|78204|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - INTAN JAYA"|"INTAN JAYA"|"PAPUA"|"INTAN JAYA"|185|79346
"63"|6518|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA LHOKSEUMAWE"|"KOTA LHOKSEUMAWE"|"ACEH"|"KOTA LHOKSEUMAWE"|210|77383
"64"|60867|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BARITO SELATAN"|"BARITO SELATAN"|"KALIMANTAN TENGAH"|"BARITO SELATAN"|320|74179
"65"|74288|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOLAKA UTARA"|"KOLAKA UTARA"|"SULAWESI TENGGARA"|"KOLAKA UTARA"|340|75899
"66"|83289|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA SORONG"|"KOTA SORONG"|"PAPUA BARAT"|"KOTA SORONG"|420|100221
"67"|6497|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA SABANG"|"KOTA SABANG"|"ACEH"|"KOTA SABANG"|65|20673
"68"|80724|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - PUNCAK JAYA"|"PUNCAK JAYA"|"PAPUA"|"PUNCAK JAYA"|337|147904
"69"|81104|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - SARMI"|"SARMI"|"PAPUA"|"SARMI"|103|19851
"70"|31685|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BEKASI"|"BEKASI"|"JAWA BARAT"|"BEKASI"|3958|1210835
"71"|75425|"Pemilihan Gubernur/Wakil Gubernur - SULAWESI BARAT"|"SULAWESI BARAT"|"SULAWESI BARAT"|NA|2756|641849
"72"|76995|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA AMBON"|"KOTA AMBON"|"MALUKU"|"KOTA AMBON"|675|152933
"73"|5920|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENER MERIAH"|"BENER MERIAH"|"ACEH"|"BENER MERIAH"|278|81523
"74"|69869|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - TAKALAR"|"TAKALAR"|"SULAWESI SELATAN"|"TAKALAR"|351|175429
"75"|79752|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - DOGIYAI"|"DOGIYAI"|"PAPUA"|"DOGIYAI"|281|117789
"76"|1492|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT"|"ACEH BARAT"|"ACEH"|"ACEH BARAT"|430|106743
"77"|60223|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA SINGKAWANG"|"KOTA SINGKAWANG"|"KALIMANTAN BARAT"|"KOTA SINGKAWANG"|405|92637
"78"|51550|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA BATU"|"KOTA BATU"|"JAWA TIMUR"|"KOTA BATU"|420|120358
"79"|23737|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - TULANG BAWANG"|"TULANG BAWANG"|"LAMPUNG"|"TULANG BAWANG"|754|199019
"80"|81992|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - TAMBRAUW"|"TAMBRAUW"|"PAPUA BARAT"|"TAMBRAUW"|155|16324
"81"|5463|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - NAGAN RAYA"|"NAGAN RAYA"|"ACEH"|"NAGAN RAYA"|352|98712
"82"|79421|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA JAYAPURA"|"KOTA JAYAPURA"|"PAPUA"|"KOTA JAYAPURA"|629|140965
"83"|42325|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA YOGYAKARTA"|"KOTA YOGYAKARTA"|"DAERAH ISTIMEWA YOGYAKARTA"|"KOTA YOGYAKARTA"|794|213797
"84"|74590|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA KENDARI"|"KOTA KENDARI"|"SULAWESI TENGGARA"|"KOTA KENDARI"|520|152720
"85"|24993|"Pemilihan Gubernur/Wakil Gubernur - KEPULAUAN BANGKA BELITUNG"|"KEPULAUAN BANGKA BELITUNG"|"KEPULAUAN BANGKA BELITUNG"|NA|2698|565065
"86"|60372|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTAWARINGIN BARAT"|"KOTAWARINGIN BARAT"|"KALIMANTAN TENGAH"|"KOTAWARINGIN BARAT"|591|113589
"87"|1824|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BESAR"|"ACEH BESAR"|"ACEH"|"ACEH BESAR"|802|199693
"88"|51578|"Pemilihan Gubernur/Wakil Gubernur - BANTEN"|"BANTEN"|"BANTEN"|NA|16540|4850993
"89"|80402|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KEPULAUAN YAPEN"|"KEPULAUAN YAPEN"|"PAPUA"|"KEPULAUAN YAPEN"|60|14381
"90"|5138|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - GAYO LUES"|"GAYO LUES"|"ACEH"|"GAYO LUES"|240|54477
"91"|63348|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - HULU SUNGAI UTARA"|"HULU SUNGAI UTARA"|"KALIMANTAN SELATAN"|"HULU SUNGAI UTARA"|697|112960
"92"|65822|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOLAANG MONGONDOW"|"BOLAANG MONGONDOW"|"SULAWESI UTARA"|"BOLAANG MONGONDOW"|346|138266
"93"|22522|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - TULANG BAWANG BARAT"|"TULANG BAWANG BARAT"|"LAMPUNG"|"TULANG BAWANG BARAT"|553|174914
"94"|59699|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - LANDAK"|"LANDAK"|"KALIMANTAN BARAT"|"LANDAK"|1006|237590
"95"|4362|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BIREUEN"|"BIREUEN"|"ACEH"|"BIREUEN"|708|220202
"96"|41165|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BREBES"|"BREBES"|"JAWA TENGAH"|"BREBES"|3001|839876
"97"|76284|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - MALUKU TENGAH"|"MALUKU TENGAH"|"MALUKU"|"MALUKU TENGAH"|623|214421
"98"|6397|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA BANDA ACEH"|"KOTA BANDA ACEH"|"ACEH"|"KOTA BANDA ACEH"|402|93584
"99"|4233|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH SINGKIL"|"ACEH SINGKIL"|"ACEH"|"ACEH SINGKIL"|237|61714
"100"|41864|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KULON PROGO"|"KULON PROGO"|"DAERAH ISTIMEWA YOGYAKARTA"|"KULON PROGO"|937|263284
"101"|1207|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGAH"|"ACEH TENGAH"|"ACEH"|"ACEH TENGAH"|466|110630
